Vaisseau de Bernard,0,100,100,100,100,5,10,0.2,50,...
Vaisseau d'Albert,1,100,100,100,100,0,0,0.2,50,...
Vaisseau de Brigite,0,200,100,100,100,9,17,0.2,100,...
Jean-Hubert de la Moria,0,200,100,100,100,9,17,0.2,100,...
Hubert Cumberdale,0,200,100,100,100,9,17,0.2,100,...
Roger,0,200,100,100,100,9,17,0.2,100,...
Caroline,0,200,100,100,100,9,17,0.2,100,...
BRODOG,0,200,100,100,100,9,17,0.2,100,...
Random Covenant,0,200,100,100,100,9,17,0.2,100,...
Lorem,0,200,100,100,100,9,17,0.2,100,...
Ipsum,0,200,100,100,100,9,17,0.2,100,...
Dolor,0,200,100,100,100,9,17,0.2,100,...
Sit Amet,0,200,100,100,100,9,17,0.2,100,...
Consectetur,0,200,100,100,100,9,17,0.2,100,...
Adipiscing Elit,0,200,100,100,100,9,17,0.2,100,...
Opus Dei,0,200,100,100,100,9,17,0.2,100,...
Ergo Sum,0,200,100,100,100,9,17,0.2,100,...
Nuncere,0,200,100,100,100,9,17,0.2,100,...
Store Citizen,1,200,100,100,100,9,17,0.2,100,...
Gruth,0,200,100,100,100,9,17,0.2,100,...
Lost Chewbie,0,200,100,100,100,9,17,0.2,100,...

